股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
300534,陇神戎发,医药生物,中药,2025-12-30,2026-02-05,9.53,10.21,0.0714,-0.0601976032174404
603172,万丰股份,基础化工,化学制品,2025-04-29,2025-05-09,14.45,15,0.0378,-0.0336920584316952
301257,普蕊斯,医药生物,医疗服务,2025-04-29,2025-05-09,27.19,28.2,0.0373,-0.0341920584316952
600202,哈空调,机械设备,通用设备,2025-01-03,2025-05-09,4.29,5.23,0.2186,-0.0902683460846191
688638,誉辰智能,电力设备,电池,2025-04-29,2025-05-09,28.15,30.55,0.0853,0.0138079415683049
600228,返利科技,传媒,数字媒体,2025-03-31,2025-05-09,5.09,3.31,-0.3497,-0.44396571571189
301372,科净源,环保,环境治理,2025-04-22,2025-04-29,16.56,18.25,0.1021,0.0925560931050199
001373,翔腾新材,电子,光学光电子,2025-04-15,2025-04-29,27.26,27.47,0.0077,-0.0110712847433517
301353,普莱得,机械设备,通用设备,2025-04-22,2025-04-29,20.52,21.99,0.0716,0.0620560931050199
001336,楚环科技,环保,环保设备,2025-04-08,2025-04-29,16.57,19.01,0.1475,0.00868295773721764
301287,康力源,轻工制造,文娱用品,2025-04-22,2025-04-29,29.62,31.29,0.0563,0.0467560931050199
600857,宁波中百,商贸零售,一般零售,2025-04-08,2025-04-22,8.65,10.09,0.1665,0.0384489717238718
301588,美新科技,轻工制造,家居用品,2025-04-15,2025-04-22,16.25,16.33,0.0055,-0.00364014515401496
301170,锡南科技,汽车,汽车零部件,2025-04-08,2025-04-22,20.31,22.54,0.11,-0.0180510282761282
301446,福事特,机械设备,工程机械,2025-03-31,2025-04-15,21.74,19.58,-0.0991,-0.101537121413121
688693,锴威特,电子,半导体,2025-04-08,2025-04-15,27.69,32.06,0.1578,0.0399661355034438
301372,科净源,环保,环境治理,2025-03-24,2025-04-15,20.5,17.19,-0.1615,-0.143313985594641
301287,康力源,轻工制造,文娱用品,2025-04-08,2025-04-15,25.55,31.57,0.2358,0.117966135503444
301353,普莱得,机械设备,通用设备,2025-03-24,2025-04-08,22.22,18.51,-0.1669,-0.0452183411935948
600455,博通股份,计算机,软件开发,2025-03-24,2025-04-08,22.16,20.58,-0.0713,0.0503816588064052
603137,恒尚节能,建筑装饰,装修装饰,2025-03-31,2025-04-08,11.63,11.08,-0.047,0.0562324630238384
002486,嘉麟杰,纺织服饰,服装家纺,2025-03-17,2025-04-08,2.36,1.75,-0.2585,-0.0960374305843062
603172,万丰股份,基础化工,化学制品,2025-03-31,2025-04-08,14.32,12.31,-0.1409,-0.0376675369761616
688450,光格科技,机械设备,通用设备,2025-03-24,2025-03-31,24.45,23.36,-0.0446,-0.0240270030728629
300517,海波重科,建筑装饰,专业工程,2025-03-17,2025-03-31,9.78,9.16,-0.0638,0.00224845062921816
000586,汇源通信,通信,通信设备,2024-07-09,2025-03-31,7.36,9.43,0.2812,-0.44628105264456
001373,翔腾新材,电子,光学光电子,2025-03-24,2025-03-31,29.26,28.94,-0.0109,0.0096729969271371
600857,宁波中百,商贸零售,一般零售,2024-12-05,2025-03-24,8.23,8.42,0.0231,-0.00823562870841256
603172,万丰股份,基础化工,化学制品,2025-03-17,2025-03-24,14.81,13.91,-0.0611,-0.0146693282302755
002767,先锋电子,机械设备,通用设备,2025-03-17,2025-03-24,15.93,19.98,0.2542,0.300630671769725
001278,一彬科技,汽车,汽车零部件,2025-03-10,2025-03-24,17.5,16.68,-0.0466,-0.0335281258832953
301287,康力源,轻工制造,文娱用品,2025-03-10,2025-03-24,31.85,30.32,-0.0481,-0.0350281258832953
301372,科净源,环保,环境治理,2025-03-03,2025-03-17,20.48,21.55,0.0522,-0.0261084349997363
600228,返利科技,传媒,数字媒体,2025-01-24,2025-03-17,4.57,6.23,0.3632,0.174325506762218
001373,翔腾新材,电子,光学光电子,2025-02-24,2025-03-17,30.32,31.95,0.0537,-0.0134782583435254
301446,福事特,机械设备,工程机械,2025-03-10,2025-03-17,22.52,22.96,0.0194,-0.0155830858286204
002486,嘉麟杰,纺织服饰,服装家纺,2024-12-19,2025-03-10,2.75,2.3,-0.1636,-0.228473271238802
002767,先锋电子,机械设备,通用设备,2025-03-03,2025-03-10,15.28,16.11,0.0542,0.0123390751555821
301353,普莱得,机械设备,通用设备,2025-02-24,2025-03-10,21.97,22.85,0.0402,0.009093044769781
301446,福事特,机械设备,工程机械,2025-02-24,2025-03-03,21,20.93,-0.0033,0.00702188592331051
600455,博通股份,计算机,软件开发,2024-12-19,2025-03-03,23.75,22.4,-0.0568,-0.0788877334446727
002767,先锋电子,机械设备,通用设备,2025-02-10,2025-02-24,14.85,15.79,0.0631,0.028368262345276
603137,恒尚节能,建筑装饰,装修装饰,2025-02-10,2025-02-24,11.54,10.75,-0.0681,-0.102831737654724
688450,光格科技,机械设备,通用设备,2025-02-17,2025-02-24,24.46,24.76,0.0123,-0.00573652866464733
301257,普蕊斯,医药生物,医疗服务,2025-01-10,2025-02-17,24.72,29.4,0.1892,0.0109463308439614
300517,海波重科,建筑装饰,专业工程,2025-01-24,2025-02-10,8.83,9.02,0.0213,-0.0553418833722573
001373,翔腾新材,电子,光学光电子,2025-01-17,2025-02-10,28.06,29.03,0.0345,-0.0510893930689078
001278,一彬科技,汽车,汽车零部件,2025-01-17,2025-01-24,15.67,16.09,0.0267,0.0183894281795681
002767,先锋电子,机械设备,通用设备,2024-09-19,2025-01-24,11.21,14.1,0.258,-0.191507264040919
301353,普莱得,机械设备,通用设备,2025-01-10,2025-01-17,19.37,20.51,0.059,-0.00884643183055495
301446,福事特,机械设备,工程机械,2025-01-10,2025-01-17,18.9,19.84,0.0499,-0.0179464318305549
600768,宁波富邦,有色金属,工业金属,2024-12-19,2025-01-10,10.04,8.21,-0.1827,-0.04367798655966
301287,康力源,轻工制造,文娱用品,2025-01-03,2025-01-10,26.79,25.9,-0.033,-0.033482955366802
001373,翔腾新材,电子,光学光电子,2024-12-26,2025-01-10,30.34,25.95,-0.1447,-0.0695415048567222
301353,普莱得,机械设备,通用设备,2024-12-26,2025-01-03,21.54,19.21,-0.1082,-0.0325950632998563
001278,一彬科技,汽车,汽车零部件,2024-12-26,2025-01-03,16.95,14.57,-0.1408,-0.0651950632998563
301287,康力源,轻工制造,文娱用品,2024-12-19,2024-12-26,30.86,27.85,-0.0973,-0.028246526554346
301372,科净源,环保,环境治理,2024-12-05,2024-12-26,24.46,20.7,-0.1537,-0.0672688963995756
301257,普蕊斯,医药生物,医疗服务,2024-12-19,2024-12-26,29.14,28.2,-0.0321,0.0369534734456541
001373,翔腾新材,电子,光学光电子,2024-11-14,2024-12-19,28.55,29.71,0.0405,-0.0175966708110005
600202,哈空调,机械设备,通用设备,2024-11-21,2024-12-19,4.99,4.98,-0.002,-0.0430719605943188
603137,恒尚节能,建筑装饰,装修装饰,2024-12-12,2024-12-19,12.68,11.05,-0.1286,-0.0564081167674183
688450,光格科技,机械设备,通用设备,2024-12-12,2024-12-19,27.35,24.18,-0.1159,-0.0437081167674183
001278,一彬科技,汽车,汽车零部件,2024-12-05,2024-12-19,17.63,18.18,0.031,0.0496666254817977
002486,嘉麟杰,纺织服饰,服装家纺,2024-08-27,2024-12-12,1.48,3.1,1.0946,0.343085450261557
301257,普蕊斯,医药生物,医疗服务,2024-12-05,2024-12-12,30.18,31.73,0.0514,-0.00629000807760949
600768,宁波富邦,有色金属,工业金属,2024-11-28,2024-12-05,9.51,9.97,0.0487,0.00427015736147477
600455,博通股份,计算机,软件开发,2024-10-17,2024-12-05,21.1,24.05,0.1398,-0.146425086465174
603137,恒尚节能,建筑装饰,装修装饰,2024-11-28,2024-12-05,11.41,11.69,0.0244,-0.0200298426385252
301287,康力源,轻工制造,文娱用品,2024-11-28,2024-12-05,29.89,30.34,0.0151,-0.0293298426385252
300517,海波重科,建筑装饰,专业工程,2024-09-26,2024-12-05,8.33,9.8,0.1758,-0.299926731678043
301372,科净源,环保,环境治理,2024-11-21,2024-11-28,23.59,24.24,0.0276,0.011854497514556
603172,万丰股份,基础化工,化学制品,2024-11-21,2024-11-28,14.73,14.63,-0.0067,-0.022445502485444
600857,宁波中百,商贸零售,一般零售,2024-11-14,2024-11-28,7.25,7.66,0.0566,0.0242439523377935
600768,宁波富邦,有色金属,工业金属,2024-11-14,2024-11-21,9.85,9.57,-0.028,-0.0443530580604272
301446,福事特,机械设备,工程机械,2024-11-07,2024-11-21,21.56,21.98,0.0198,-0.00413208530957103
001336,楚环科技,环保,环保设备,2024-11-14,2024-11-21,19.24,19.45,0.0108,-0.00555305806042719
600202,哈空调,机械设备,通用设备,2024-10-31,2024-11-14,4.83,4.72,-0.0227,-0.0772331739025257
301372,科净源,环保,环境治理,2024-11-07,2024-11-14,24.32,23.73,-0.0243,-0.0317570811678447
001278,一彬科技,汽车,汽车零部件,2024-10-10,2024-11-14,15.98,16.52,0.0336,-0.154063759641801
603172,万丰股份,基础化工,化学制品,2024-10-10,2024-11-14,13.95,14.92,0.0698,-0.117863759641801
600768,宁波富邦,有色金属,工业金属,2024-10-17,2024-11-07,8.45,9.89,0.1702,-0.0138816294634722
001373,翔腾新材,电子,光学光电子,2024-10-31,2024-11-07,28.16,28.1,-0.0021,-0.0488276409235322
301372,科净源,环保,环境治理,2024-10-10,2024-10-31,22.9,23.25,0.0153,-0.110945991149427
300621,维业股份,建筑装饰,装修装饰,2024-10-24,2024-10-31,10.16,14.98,0.4749,0.416295803724563
001373,翔腾新材,电子,光学光电子,2024-09-10,2024-10-24,24.79,28.25,0.1399,-0.175148184839245
300621,维业股份,建筑装饰,装修装饰,2024-09-19,2024-10-17,7.28,10.61,0.4568,0.21802713948426
301287,康力源,轻工制造,文娱用品,2024-10-10,2024-10-17,28.16,26.79,-0.0488,-0.0444009620296129
600455,博通股份,计算机,软件开发,2024-06-18,2024-10-10,15.21,18.86,0.24,-0.0400501223181136
688693,锴威特,电子,半导体,2024-09-19,2024-10-10,22.83,30.5,0.336,0.0917536525573443
600202,哈空调,机械设备,通用设备,2024-09-26,2024-10-10,3.95,4.27,0.0806,-0.07180109134917
600768,宁波富邦,有色金属,工业金属,2024-08-20,2024-10-10,6.93,8.29,0.196,-0.0784118832615958
688080,映翰通,通信,通信设备,2024-09-19,2024-09-26,23.2,25.36,0.0931,0.0134009639760422
600857,宁波中百,商贸零售,一般零售,2024-09-10,2024-09-26,5.44,5.92,0.0882,0.0155986028755867
301372,科净源,环保,环境治理,2024-07-09,2024-09-19,24.56,18.21,-0.2586,-0.331928200367076
600202,哈空调,机械设备,通用设备,2024-08-20,2024-09-19,3.54,3.68,0.0423,0.0180559780015104
300517,海波重科,建筑装饰,专业工程,2024-09-03,2024-09-19,8.6,8.17,-0.0505,-0.0463563956525445
001278,一彬科技,汽车,汽车零部件,2024-09-03,2024-09-19,13.99,13.31,-0.0483,-0.0441563956525445
300621,维业股份,建筑装饰,装修装饰,2024-08-13,2024-09-10,7.81,7.24,-0.0729,-0.0812168919433883
001336,楚环科技,环保,环保设备,2024-06-18,2024-09-10,20.12,15.48,-0.2306,-0.266183104277728
301287,康力源,轻工制造,文娱用品,2024-08-27,2024-09-03,23.45,24.12,0.0285,-0.0151382140997411
600857,宁波中百,商贸零售,一般零售,2024-08-27,2024-09-03,5.19,5.37,0.0347,-0.00893821409974111
001373,翔腾新材,电子,光学光电子,2024-08-13,2024-08-27,23.99,25.34,0.0565,0.0927020511568513
688080,映翰通,通信,通信设备,2024-08-06,2024-08-27,23.73,23.22,-0.0214,0.00859328439812366
300517,海波重科,建筑装饰,专业工程,2024-08-06,2024-08-27,8.67,8.72,0.0057,0.0356932843981237
002767,先锋电子,机械设备,通用设备,2024-07-02,2024-08-20,11.75,11.61,-0.0119,-0.0102998439810875
002486,嘉麟杰,纺织服饰,纺织制造,2024-07-23,2024-08-20,1.43,1.46,0.021,-0.0291482487246638
301287,康力源,轻工制造,文娱用品,2024-07-23,2024-08-13,24.61,25.25,0.0263,-0.0474949639710203
600857,宁波中百,商贸零售,一般零售,2024-08-06,2024-08-13,5.87,5.53,-0.0579,-0.0643419796350261
600202,哈空调,机械设备,通用设备,2024-07-30,2024-08-06,3.57,3.65,0.0223,-0.00772879546893422
001373,翔腾新材,电子,光学光电子,2024-06-11,2024-08-06,25.34,24.74,-0.0238,-0.0844919947511133
300621,维业股份,建筑装饰,装修装饰,2024-07-30,2024-08-06,7.26,7.45,0.0261,-0.00392879546893422
688671,碧兴物联,环保,环保设备,2024-07-02,2024-07-30,19.5,18.03,-0.0755,-0.0602752963147378
600768,宁波富邦,有色金属,工业金属,2024-07-23,2024-07-30,6.34,6.57,0.0357,-0.000117522455285686
300517,海波重科,建筑装饰,专业工程,2024-06-25,2024-07-23,8.16,10.15,0.2446,0.242025835074322
600202,哈空调,机械设备,通用设备,2024-07-16,2024-07-23,3.45,3.39,-0.0173,-0.0140741616331548
300621,维业股份,建筑装饰,装修装饰,2024-06-18,2024-07-23,7.56,7.02,-0.0713,-0.0277594239302703
002486,嘉麟杰,纺织服饰,纺织制造,2024-06-11,2024-07-16,1.58,1.43,-0.0949,-0.0922782654139612
301287,康力源,轻工制造,文娱用品,2024-07-02,2024-07-09,26.37,25.22,-0.0439,0.00335779923407891
688450,光格科技,机械设备,通用设备,2024-06-18,2024-07-09,26.78,21.32,-0.2038,-0.162291047565011
600202,哈空调,机械设备,通用设备,2024-05-13,2024-07-02,4.73,3.66,-0.2274,-0.175796579683522
301446,福事特,机械设备,工程机械,2024-06-25,2024-07-02,16.69,20.11,0.2046,0.150061069670162
000586,汇源通信,通信,通信设备,2024-04-17,2024-07-02,8.69,7.81,-0.1013,-0.135941767497441
688671,碧兴物联,环保,环保设备,2024-06-18,2024-06-25,21.59,21.12,-0.0221,0.0238963388332739
301372,科净源,环保,环境治理,2024-05-27,2024-06-25,25.85,27.75,0.0735,0.189077739422816
300517,海波重科,建筑装饰,专业工程,2024-05-20,2024-06-18,9,8.75,-0.0274,0.0810251667348922
002767,先锋电子,机械设备,通用设备,2024-05-06,2024-06-18,13.03,13.75,0.055,0.139363831909627
600768,宁波富邦,有色金属,工业金属,2024-06-11,2024-06-18,7.07,7.18,0.0153,-0.0241177311296058
600857,宁波中百,商贸零售,一般零售,2024-06-11,2024-06-18,5.85,5.96,0.0195,-0.0199177311296058
688693,锴威特,电子,半导体,2024-05-27,2024-06-18,22.81,41.22,0.807,0.879936198698069
300621,维业股份,建筑装饰,装修装饰,2024-06-03,2024-06-11,7.91,7.48,-0.0542,0.0132726035905939
001336,楚环科技,环保,环保设备,2024-06-03,2024-06-11,19.34,18.79,-0.0286,0.0388726035905939
301353,普莱得,机械设备,通用设备,2024-06-03,2024-06-11,18.62,18.16,-0.0246,0.0428726035905939
603172,万丰股份,基础化工,化学制品,2024-04-17,2024-06-11,12.27,16.87,0.3752,0.38576509584244
