股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002084,海鸥住工,轻工制造,家居用品,2026-03-20,2026-03-27,3.83,3.95,0.0313,0.0148727738237698
603168,莎普爱思,医药生物,化学制药,2026-03-20,2026-03-27,6.88,6.93,0.0073,-0.00912722617623016
002856,美芝股份,建筑装饰,装修装饰,2026-03-20,2026-03-27,11.24,11.3,0.0053,-0.0111272261762302
002114,罗平锌电,有色金属,工业金属,2026-03-13,2026-03-27,9.52,8.61,-0.0956,-0.0417645260048973
688619,罗普特,计算机,计算机设备,2026-03-20,2026-03-27,14.97,14.86,-0.0073,-0.0237272261762302
002193,如意集团,纺织服饰,服装家纺,2026-03-20,2026-03-27,6.17,6.22,0.0081,-0.00832722617623016
002513,蓝丰生化,基础化工,农化制品,2026-03-20,2026-03-27,6.3,6.4,0.0159,-0.000527226176230158
603679,华体科技,电子,光学光电子,2026-03-13,2026-03-20,16.59,14.95,-0.0989,-0.0297728668793543
000586,汇源通信,通信,通信设备,2026-03-13,2026-03-20,15.82,14.77,-0.0664,0.00272713312064567
603356,华菱精工,机械设备,专用设备,2026-03-06,2026-03-20,19.4,16.72,-0.1381,-0.0652376933737304
000637,茂化实华,石油石化,炼化及贸易,2026-03-06,2026-03-20,5.23,4.5,-0.1396,-0.0667376933737304
600281,华阳新材,有色金属,小金属,2026-03-13,2026-03-20,5.99,5.19,-0.1336,-0.0644728668793543
688369,致远互联,计算机,软件开发,2026-03-13,2026-03-20,23.71,22.52,-0.0502,0.0189271331206457
603139,康惠股份,医药生物,中药,2026-03-06,2026-03-13,27.17,27.92,0.0276,0.0316125495527071
688096,京源环保,环保,环境治理,2026-03-06,2026-03-13,9.92,8.81,-0.1119,-0.107887450447293
600540,新赛股份,农林牧渔,种植业,2026-03-06,2026-03-13,5.34,5.4,0.0112,0.0152125495527071
603968,醋化股份,基础化工,化学制品,2026-03-06,2026-03-13,14.75,14.58,-0.0115,-0.00748745044729287
000056,皇庭国际,房地产,房地产服务,2026-02-12,2026-03-13,2.1,1.96,-0.0667,-0.0758257087024552
000695,滨海能源,电力设备,电池,2026-02-27,2026-03-13,13.32,14.43,0.0833,0.105497351652376
603959,百利科技,建筑装饰,专业工程,2026-02-27,2026-03-13,6.55,6.12,-0.0656,-0.0434026483476238
000586,汇源通信,通信,通信设备,2026-02-05,2026-03-06,14.3,15.89,0.1112,0.0830044392502478
603359,东珠生态,建筑装饰,基础建设,2026-02-12,2026-03-06,6.91,6.82,-0.013,-0.0261911885528899
002207,准油股份,石油石化,油服工程,2026-02-05,2026-03-06,9.38,13.13,0.3998,0.371604439250248
003042,中农联合,基础化工,农化制品,2026-02-27,2026-03-06,18.84,18.83,-0.0005,0.0177580634841356
605069,正和生态,环保,环境治理,2026-02-12,2026-03-06,14.37,14.15,-0.0153,-0.0284911885528899
603679,华体科技,电子,光学光电子,2026-02-27,2026-03-06,16.66,15.16,-0.09,-0.0717419365158644
002360,同德化工,基础化工,化学制品,2026-02-12,2026-02-27,5.74,5.85,0.0192,-0.0128341332760388
603578,三星新材,家用电器,家电零部件,2026-02-05,2026-02-27,15.25,15.98,0.0479,0.00058244891447895
002513,蓝丰生化,基础化工,农化制品,2026-02-12,2026-02-27,7.3,7.44,0.0192,-0.0128341332760388
002795,永和智控,机械设备,通用设备,2026-02-12,2026-02-27,7.14,8.04,0.126,0.0939658667239612
000610,西安旅游,社会服务,旅游及景区,2026-02-05,2026-02-12,10.17,10.07,-0.0098,-0.0246090235746052
002227,奥特迅,电力设备,其他电源设备,2026-02-05,2026-02-12,9.86,9.8,-0.0061,-0.0209090235746052
003042,中农联合,基础化工,农化制品,2026-02-05,2026-02-12,18.11,18.12,0.0006,-0.0142090235746052
688369,致远互联,计算机,软件开发,2026-02-05,2026-02-12,26.43,26.81,0.0144,-0.000409023574605229
002193,如意集团,纺织服饰,服装家纺,2026-02-05,2026-02-12,7.06,6.89,-0.0241,-0.0389090235746052
002910,庄园牧场,食品饮料,饮料乳品,2026-02-05,2026-02-12,12.84,12.05,-0.0615,-0.0763090235746052
000826,启迪环境,环保,环境治理,2026-02-05,2026-02-12,2.13,2.28,0.0704,0.0555909764253948
002691,冀凯股份,机械设备,专用设备,2026-01-29,2026-02-05,8.56,9.25,0.0806,0.049169141177547
002105,信隆健康,汽车,摩托车及其他,2026-01-29,2026-02-05,6.86,7.15,0.0423,0.010869141177547
603188,亚邦股份,基础化工,化学制品,2026-01-22,2026-02-05,4.89,5.23,0.0695,0.0570852895487387
600791,京能置业,房地产,房地产开发,2026-01-22,2026-02-05,5.45,6.41,0.1761,0.163685289548739
600540,新赛股份,农林牧渔,种植业,2026-01-29,2026-02-05,5.04,4.92,-0.0238,-0.055230858822453
000952,广济药业,医药生物,化学制药,2026-01-29,2026-02-05,8.11,7.86,-0.0308,-0.062230858822453
688130,晶华微,电子,半导体,2026-01-29,2026-02-05,24.03,23.5,-0.0221,-0.053530858822453
