股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
000014,沙河股份,房地产,房地产开发,2026-03-06,2026-03-13,13.17,14.35,0.0896,0.0936125495527071
000014,沙河股份,房地产,房地产开发,2026-01-29,2026-02-05,13.15,13.37,0.0167,-0.014730858822453
000004,国华网安,计算机,软件开发,2025-01-24,2025-05-09,10.53,7.73,-0.2659,-0.480919223166615
600193,创兴资源,建筑装饰,装修装饰,2025-02-17,2025-05-09,3.9,3.61,-0.0744,-0.18471822813698
688511,天微电子,国防军工,军工电子,2025-01-24,2025-05-09,12.59,15.65,0.243,0.0279807768333847
002816,和科达,机械设备,专用设备,2025-02-10,2025-05-09,14.4,14.31,-0.0063,-0.134826803509569
301288,清研环境,环保,环保设备,2025-02-10,2025-05-09,13.31,11.79,-0.1142,-0.242726803509569
688670,金迪克,医药生物,生物制品,2025-01-24,2025-04-22,11.63,11.18,-0.0387,-0.161930740289458
002621,美吉姆,社会服务,教育,2024-04-01,2024-08-06,2.37,0.37,-0.8439,-0.730688167628525
600234,科新发展,建筑装饰,装修装饰,2024-03-25,2024-06-03,6.71,2,-0.7019,-0.64335008092451
603963,大理药业,医药生物,中药,2024-04-24,2024-05-27,7.91,4.28,-0.4589,-0.533580212847717
603023,威帝股份,汽车,汽车零部件,2024-04-17,2024-05-20,2.81,2.25,-0.1993,-0.352805174000449
002141,贤丰控股,电子,其他电子,2024-04-10,2024-05-13,1.68,0.82,-0.5119,-0.484799666073159
300506,名家汇,建筑装饰,装修装饰,2024-04-24,2024-05-06,1.34,1.33,-0.0112,-0.0992928015157203
000809,铁岭新城,房地产,房地产开发,2024-04-17,2024-05-06,1.49,1.8,0.2081,0.0849069468850608
688282,理工导航,国防军工,航天装备,2024-04-17,2024-04-24,21.18,22.39,0.0571,0.0248414908449684
300965,恒宇信通,国防军工,航空装备,2024-04-10,2024-04-24,31.48,31.38,-0.0031,0.0763306768459236
603023,威帝股份,汽车,汽车零部件,2024-01-19,2024-04-01,4,4.11,0.0275,0.090043252313115
002621,美吉姆,社会服务,教育,2024-02-02,2024-03-25,1.88,2.4,0.2766,0.123898194828224
688282,理工导航,国防军工,航天装备,2024-03-11,2024-03-18,22.66,27.02,0.1924,0.109670605798937
603963,大理药业,医药生物,中药,2024-02-02,2024-03-18,7.16,12,0.676,0.504153000213037
300965,恒宇信通,国防军工,航空装备,2024-02-19,2024-02-26,26.93,32.97,0.2243,0.0139626267043194
688282,理工导航,国防军工,航天装备,2024-02-02,2024-02-19,20.77,19.5,-0.0611,0.0527336912661265
000416,民生控股,非银金融,多元金融,2023-04-19,2023-05-08,2.99,2.6,-0.1304,-0.126476207014576
002816,和科达,机械设备,专用设备,2023-04-12,2023-05-08,11.46,10.21,-0.1091,-0.0886297747929276
300262,巴安水务,环保,环境治理,2023-02-07,2023-05-08,2.84,2.71,-0.0458,-0.0241812366876799
600647,同达创业,综合,综合,2023-02-07,2023-05-08,14.05,12.53,-0.1082,-0.0865812366876799
002417,深南股份,计算机,IT服务,2022-02-17,2022-05-05,6.18,2.49,-0.5971,-0.459354289354515
300526,中潜股份,纺织服饰,服装家纺,2022-04-11,2022-05-05,10.83,5.55,-0.4875,-0.370685840598638
300309,吉艾科技,非银金融,多元金融,2022-02-10,2022-05-05,2.71,1.17,-0.5683,-0.437089956915467
688309,恒誉环保,环保,环保设备,2022-01-27,2022-05-05,14.93,12.26,-0.1792,-0.120566163916864
000995,皇台酒业,食品饮料,白酒,2022-03-31,2022-04-11,13.22,15.09,0.1415,0.188324654316154
000613,大东海Ａ,社会服务,酒店餐饮,2021-01-25,2021-05-28,3.99,3.45,-0.1353,-0.307522847643311
000007,全 新 好,商贸零售,一般零售,2021-02-08,2021-05-14,2.56,3.8,0.4844,0.230542920681955
600766,园城黄金,有色金属,贵金属,2021-02-08,2021-05-14,3.17,3.64,0.1483,-0.105557079318045
300312,邦讯技术,通信,通信服务,2021-02-01,2021-05-07,3.4,2.87,-0.1559,-0.28950850992824
300795,米奥会展,社会服务,专业服务,2021-04-20,2021-05-07,5.92,5.72,-0.0328,0.00542684792557074
603032,德新交运,交通运输,铁路公路,2021-02-01,2021-05-07,5.28,8.09,0.531,0.39739149007176
000502,绿景控股,房地产,房地产开发,2021-02-08,2021-05-07,5.09,5.08,-0.002,-0.206078903756377
002058,威 尔 泰,电力设备,电网设备,2021-03-22,2021-04-20,9.63,9.38,-0.026,-0.0541582565831249
002058,威 尔 泰,电力设备,电网设备,2021-01-04,2021-02-08,12.95,10.28,-0.2062,-0.0408959902455187
002321,华英农业,农林牧渔,养殖业,2021-01-04,2021-01-11,3.87,3.31,-0.1446,-0.0397624027078935
002316,亚联发展,计算机,IT服务,2021-01-04,2021-01-11,4.01,3.35,-0.1646,-0.0597624027078935
002504,弘高创意,建筑装饰,装修装饰,2021-01-04,2021-01-11,2.38,1.73,-0.2731,-0.168262402707894
