股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
600119,长江投资,交通运输,物流,2026-03-13,2026-03-20,6.23,5.8,-0.069,0.000127133120645662
600543,莫高股份,食品饮料,非白酒,2026-02-27,2026-03-13,5.4,5.31,-0.0167,0.00549735165237624
000014,沙河股份,房地产,房地产开发,2026-03-06,2026-03-13,13.17,14.35,0.0896,0.0936125495527071
600119,长江投资,交通运输,物流,2026-02-27,2026-03-06,6.88,6.35,-0.077,-0.0587419365158644
000890,法尔胜,环保,环保设备,2026-02-05,2026-02-27,5.34,7.66,0.4345,0.387182448914479
605336,帅丰电器,家用电器,厨卫电器,2026-02-12,2026-02-27,14.25,14.4,0.0105,-0.0215341332760388
600119,长江投资,交通运输,物流,2026-02-05,2026-02-12,6.93,6.87,-0.0087,-0.0235090235746052
600543,莫高股份,食品饮料,非白酒,2026-02-05,2026-02-12,5.36,5.32,-0.0075,-0.0223090235746052
605336,帅丰电器,家用电器,厨卫电器,2026-01-29,2026-02-05,15.23,15.08,-0.0098,-0.041230858822453
000014,沙河股份,房地产,房地产开发,2026-01-29,2026-02-05,13.15,13.37,0.0167,-0.014730858822453
600228,返利科技,传媒,数字媒体,2025-03-31,2025-05-09,5.09,3.31,-0.3497,-0.44396571571189
300899,上海凯鑫,环保,环境治理,2025-04-22,2025-05-09,18.47,20.53,0.1112,0.029481721123922
002529,海源复材,机械设备,专用设备,2025-04-15,2025-05-09,6.7,5.84,-0.1284,-0.220005340960756
000995,皇台酒业,食品饮料,白酒,2025-04-29,2025-05-09,12.71,13.32,0.048,-0.0234920584316952
603789,星光农机,机械设备,专用设备,2025-04-29,2025-05-09,5.28,5.13,-0.0284,-0.0998920584316952
600355,精伦电子,通信,通信设备,2025-01-24,2025-05-09,2.8,2.56,-0.0857,-0.300719223166615
605069,正和生态,环保,环境治理,2025-04-22,2025-05-09,8.66,9.94,0.1478,0.066081721123922
603389,亚振家居,轻工制造,家居用品,2025-04-29,2025-05-09,6.12,7.44,0.2157,0.144207941568305
000004,国华网安,计算机,软件开发,2025-04-22,2025-05-09,9.1,7.73,-0.1505,-0.232218278876078
002816,和科达,机械设备,专用设备,2025-04-15,2025-05-09,12.61,14.31,0.1348,0.0431946590392436
600243,青海华鼎,机械设备,通用设备,2025-03-24,2025-04-29,3.57,2.26,-0.3669,-0.367143895483243
002762,金发拉比,纺织服饰,服装家纺,2025-04-08,2025-04-29,5.15,4.41,-0.1426,-0.281417042262782
000953,河化股份,医药生物,化学制药,2025-03-31,2025-04-29,6.34,5.93,-0.0647,-0.0859541540564726
