股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002856,美芝股份,建筑装饰,装修装饰,2026-03-20,2026-03-27,11.24,11.3,0.0053,-0.0111272261762302
688619,罗普特,计算机,计算机设备,2026-03-20,2026-03-27,14.97,14.86,-0.0073,-0.0237272261762302
603168,莎普爱思,医药生物,化学制药,2026-03-20,2026-03-27,6.88,6.93,0.0073,-0.00912722617623016
002360,同德化工,基础化工,化学制品,2026-03-13,2026-03-27,6.69,6.57,-0.0179,0.0359354739951027
002114,罗平锌电,有色金属,工业金属,2026-03-13,2026-03-27,9.52,8.61,-0.0956,-0.0417645260048973
002084,海鸥住工,轻工制造,家居用品,2026-03-20,2026-03-27,3.83,3.95,0.0313,0.0148727738237698
300594,朗进科技,机械设备,轨交设备,2026-03-20,2026-03-27,27.61,28.7,0.0395,0.0230727738237698
300912,凯龙高科,汽车,汽车零部件,2026-03-13,2026-03-27,26.55,25.2,-0.0508,0.00303547399510269
600281,华阳新材,有色金属,小金属,2026-03-13,2026-03-20,5.99,5.19,-0.1336,-0.0644728668793543
603616,韩建河山,建筑材料,水泥,2026-02-12,2026-03-20,7.15,6.59,-0.0783,-0.0176677415015148
300615,欣天科技,通信,通信设备,2026-03-13,2026-03-20,15.01,14.66,-0.0233,0.0458271331206457
603679,华体科技,电子,光学光电子,2026-03-13,2026-03-20,16.59,14.95,-0.0989,-0.0297728668793543
603356,华菱精工,机械设备,专用设备,2026-03-06,2026-03-20,19.4,16.72,-0.1381,-0.0652376933737304
301273,瑞晨环保,机械设备,通用设备,2026-03-13,2026-03-20,33.51,29.82,-0.1101,-0.0409728668793543
300736,百邦科技,电子,其他电子,2026-03-06,2026-03-13,19.14,21.46,0.1212,0.125212549552707
301027,华蓝集团,建筑装饰,工程咨询服务,2026-03-06,2026-03-13,21.3,22.23,0.0437,0.0477125495527071
000637,茂化实华,石油石化,炼化及贸易,2026-03-06,2026-03-13,5.23,5.04,-0.0363,-0.0322874504472929
301231,荣信文化,传媒,出版,2026-02-27,2026-03-13,38.05,34.92,-0.0823,-0.0601026483476238
600540,新赛股份,农林牧渔,种植业,2026-03-06,2026-03-13,5.34,5.4,0.0112,0.0152125495527071
300554,三超新材,机械设备,通用设备,2026-03-06,2026-03-13,26.35,25.57,-0.0296,-0.0255874504472929
688096,京源环保,环保,环境治理,2026-03-06,2026-03-13,9.92,8.81,-0.1119,-0.107887450447293
603968,醋化股份,基础化工,化学制品,2026-03-06,2026-03-13,14.75,14.58,-0.0115,-0.00748745044729287
000586,汇源通信,通信,通信设备,2026-02-27,2026-03-06,15.82,15.89,0.0044,0.0226580634841356
002207,准油股份,石油石化,油服工程,2026-02-05,2026-03-06,9.38,13.13,0.3998,0.371604439250248
605069,正和生态,环保,环境治理,2026-02-27,2026-03-06,13.87,14.15,0.0202,0.0384580634841356
301118,恒光股份,基础化工,化学原料,2026-02-27,2026-03-06,28.7,28.49,-0.0073,0.0109580634841356
301030,仕净科技,环保,环保设备,2026-02-12,2026-03-06,15.74,12.34,-0.216,-0.22919118855289
300612,宣亚国际,传媒,广告营销,2026-02-27,2026-03-06,17.68,16.39,-0.073,-0.0547419365158644
000056,皇庭国际,房地产,房地产服务,2026-02-12,2026-03-06,2.1,2.02,-0.0381,-0.0512911885528899
603959,百利科技,建筑装饰,专业工程,2026-02-27,2026-03-06,6.55,6.24,-0.0473,-0.0290419365158644
300931,通用电梯,机械设备,专用设备,2026-02-12,2026-02-27,12.83,13.45,0.0483,0.0162658667239612
300556,丝路视觉,计算机,软件开发,2026-02-12,2026-02-27,21.27,20.56,-0.0334,-0.0654341332760388
002795,永和智控,机械设备,通用设备,2026-02-12,2026-02-27,7.14,8.04,0.126,0.0939658667239612
300449,汉邦高科,计算机,计算机设备,2026-02-12,2026-02-27,7.65,8.55,0.1176,0.0855658667239612
300736,百邦科技,电子,其他电子,2026-02-12,2026-02-27,20.8,20.95,0.0072,-0.0248341332760388
002360,同德化工,基础化工,化学制品,2026-02-12,2026-02-27,5.74,5.85,0.0192,-0.0128341332760388
603578,三星新材,家用电器,家电零部件,2026-02-05,2026-02-12,15.25,14.26,-0.0649,-0.0797090235746052
300106,西部牧业,食品饮料,饮料乳品,2026-02-05,2026-02-12,11.65,11.33,-0.0275,-0.0423090235746052
301231,荣信文化,传媒,出版,2026-02-05,2026-02-12,36.58,43,0.1755,0.160690976425395
